carat,cut,color,clarity,depth,table,price,x,y,z
0.31,Very Good,I,VS2,63.2,55,558,4.4,4.3,2.75
1.02,Premium,D,SI1,60.6,59,5998,6.53,6.47,3.94
1.53,Premium,D,SI1,61.6,58,10907,7.42,7.35,4.55
1.21,Very Good,G,SI1,62.2,60,6190,6.71,6.73,4.18
1.21,Ideal,F,SI1,61.2,59,7349,6.8,6.85,4.18
0.73,Premium,E,VS2,61.9,57,3127,5.79,5.75,3.57
0.9,Very Good,F,VVS2,61,63,5504,6.13,6.09,3.73
1.5,Very Good,E,SI2,62.8,57,8538,7.17,7.23,4.52
0.3,Premium,E,SI1,60.6,58,675,4.34,4.3,2.62
0.27,Premium,D,VS2,59.6,61,567,4.26,4.23,2.53
1.52,Ideal,F,VS2,62.5,55,14915,7.42,7.31,4.6
1.04,Premium,E,SI2,61,60,4240,6.57,6.52,3.99
0.91,Very Good,I,SI1,63.5,57,2852,6.12,6.07,3.87
1,Ideal,G,VS1,62.7,54,6349,6.37,6.42,4.01
0.7,Ideal,F,VS1,61.6,55,2874,5.75,5.71,3.53
1.2,Premium,J,SI2,61.7,57,3782,6.85,6.79,4.21
0.76,Very Good,G,VVS2,62.3,57,3549,5.79,5.84,3.62
0.73,Ideal,I,VS2,61.9,56,2686,5.77,5.8,3.59
0.3,Ideal,G,VVS1,60.6,57,734,4.36,4.38,2.65
0.64,Ideal,D,VS2,60.7,59,2224,5.58,5.62,3.4
0.9,Very Good,F,SI1,61.1,56,3893,6.23,6.3,3.83
0.9,Very Good,G,VS2,62.4,61,4210,6.13,6.17,3.84
1.35,Premium,G,SI2,58.4,59,6400,7.32,7.28,4.26
0.38,Very Good,G,VS2,59.7,62,715,4.66,4.68,2.79
1.71,Premium,H,SI2,62.3,58,10534,7.66,7.62,4.76
0.71,Very Good,D,VS2,63.1,59,3096,5.64,5.67,3.57
0.31,Premium,D,IF,60.2,59,1248,4.42,4.39,2.65
1.51,Premium,I,SI1,62.2,61,6756,7.35,7.27,4.55
0.71,Ideal,G,VS2,62.5,56,2543,5.67,5.72,3.56
1.08,Premium,F,SI1,62.1,58,4864,6.57,6.61,4.09
0.41,Ideal,J,VS2,61.7,55,587,4.79,4.81,2.96
0.3,Ideal,F,VS2,62,53.7,601,4.31,4.33,2.68
1.2,Good,G,VS2,57.8,59,8032,7.06,7,4.06
0.46,Ideal,G,IF,61.1,56,1987,5,5.02,3.06
0.71,Fair,J,SI2,66.1,58,1362,5.53,5.43,3.62
0.38,Very Good,D,VS2,63.1,55,1005,4.6,4.59,2.9
0.61,Very Good,E,SI1,63.9,54,2179,5.38,5.42,3.45
0.7,Ideal,E,SI1,61.7,55,2745,5.71,5.74,3.53
1.32,Very Good,J,SI2,61.7,60,5513,6.95,7.01,4.31
1.2,Premium,G,SI1,62.5,60,5868,6.74,6.68,4.21
0.56,Ideal,D,VS2,61.5,57,1963,5.28,5.33,3.26
0.51,Premium,E,SI2,60.3,56,1205,5.22,5.19,3.14
0.66,Good,H,VS1,59.9,60.3,1832,5.61,5.67,3.37
0.6,Ideal,D,SI1,61.7,56,2263,5.39,5.44,3.34
0.42,Ideal,D,VS1,61.5,54,1179,4.79,4.84,2.96
1.14,Premium,I,VS2,62.8,60,5008,6.68,6.59,4.17
0.45,Fair,G,SI1,68.6,57,756,4.73,4.5,3.19
1.54,Premium,G,VS2,60.2,60,13292,7.51,7.44,4.5
0.31,Ideal,D,VS1,60.5,55,877,4.43,4.39,2.67
0.36,Ideal,F,IF,61.4,55.9,1138,4.58,4.62,2.82
0.72,Ideal,J,VVS2,61.5,57,2150,5.74,5.77,3.54
0.52,Very Good,E,VS1,62.3,59,1806,5.14,5.17,3.21
1.06,Ideal,H,SI2,60.9,56,4563,6.58,6.63,4.02
0.54,Ideal,I,VS2,61.9,56,1260,5.2,5.26,3.24
0.32,Premium,G,VS2,61.5,59,561,4.4,4.42,2.71
0.73,Ideal,G,SI1,61.6,57,2278,5.81,5.79,3.57
0.35,Ideal,D,VS2,62.4,55,829,4.48,4.52,2.81
0.33,Ideal,E,VS2,62,56,723,4.46,4.48,2.77
0.84,Very Good,G,SI2,62.8,57,3015,6,6.04,3.78
1.73,Ideal,F,VS1,62.1,57,16131,7.73,7.64,4.77
1.18,Very Good,F,SI1,59.9,59,6053,6.85,6.87,4.11
0.49,Ideal,G,VS2,61.1,57,1246,5.12,5.09,3.12
0.37,Very Good,D,VVS1,62.3,54,1108,4.57,4.65,2.87
0.58,Ideal,F,VS1,60.6,55,2117,5.41,5.48,3.3
0.52,Very Good,I,SI1,60.3,61,1041,5.14,5.2,3.12
1.49,Fair,H,I1,66.9,61,6425,6.93,6.89,4.62
0.7,Ideal,I,SI1,60.8,59,2083,5.74,5.78,3.5
0.72,Good,H,SI2,65.8,59,1945,5.51,5.58,3.65
0.34,Ideal,E,VS2,62.4,56,956,4.49,4.45,2.79
0.53,Premium,E,VVS2,62.4,56,2331,5.19,5.17,3.23
1.42,Very Good,E,SI1,61.1,62,9278,7.17,7.2,4.39
0.34,Premium,G,VS2,60.3,58,765,4.53,4.49,2.72
1.8,Good,F,SI2,57.9,58,12308,8.13,8.08,4.69
0.31,Good,H,VS1,57.5,60,435,4.46,4.51,2.58
1.6,Premium,I,VS2,60.2,58,9784,7.63,7.56,4.57
0.3,Ideal,J,VS1,59.7,57,394,4.37,4.4,2.62
0.36,Good,E,SI2,63.7,54,648,4.55,4.52,2.89
0.32,Ideal,D,SI1,62.8,56,756,4.42,4.37,2.76
1.03,Ideal,G,VVS2,60.7,57,8385,6.5,6.58,3.97
1,Premium,E,SI2,62,59,4077,6.43,6.3,3.95
0.5,Ideal,J,VS1,61.4,58,1134,5.14,5.09,3.15
0.57,Premium,E,SI2,61,60,1320,5.36,5.32,3.26
0.38,Good,H,SI2,63.4,57,547,4.58,4.63,2.92
0.6,Ideal,F,VS2,60.9,55,2099,5.49,5.51,3.34
1.01,Very Good,F,VVS2,61.1,58,9065,6.43,6.47,3.94
1.33,Ideal,I,SI1,61.6,57,7526,7.06,7.1,4.36
1.71,Premium,I,SI1,60.2,58,11104,7.79,7.75,4.68
0.9,Premium,E,SI2,63,57,3084,6.08,6.05,3.82
0.3,Very Good,E,VS2,61.5,58,640,4.28,4.31,2.64
1.07,Premium,H,SI1,60,60,5123,6.65,6.61,3.98
0.9,Premium,H,SI1,61,59,3387,6.16,6.11,3.74
1.72,Premium,H,SI2,59.8,59,10749,7.77,7.74,4.64
1.26,Ideal,H,VS1,61,57,8959,6.97,7.03,4.27
0.9,Ideal,G,SI1,60.2,56,3894,6.24,6.29,3.77
1.5,Good,H,VS2,61.2,61,10291,7.25,7.32,4.46
0.7,Ideal,H,VS2,61.9,56,3656,5.68,5.73,3.53
1.02,Very Good,H,SI1,64.4,59,5047,6.24,6.36,4.06
0.3,Good,G,SI2,63.3,57,394,4.25,4.28,2.7
0.9,Very Good,F,SI1,63.3,55,4545,6.18,6.12,3.89
0.7,Ideal,F,SI1,62.1,56,2596,5.67,5.65,3.51
1.6,Premium,G,SI1,62.4,61,11189,7.43,7.4,4.63
1.25,Very Good,F,VS2,62.5,59,9377,6.81,6.89,4.28
1.02,Good,G,VS1,57.3,59,5706,6.71,6.65,3.83
